block,solver,A_name,q,sigma,P_single,P_single_impute,median_single_error,median_single_d_H,eps_success_impute
A,neural,A1,3,0.0,0.2,0.2,1.4142133031750164,0.6666666666666666,0.3043807145043604
A,neural,A1,4,0.0,0.0,0.0,1.4594832296807527,0.75,0.3043807145043604
A,neural,A1,5,0.0,0.0,0.05,1.3091892833977825,0.8,0.3043807145043604
A,neural,A1,6,0.0,0.0,0.05,1.6963868299336196,0.8333333333333334,0.3043807145043604
A,neural,A1,7,0.0,0.0,0.15,1.3090449428211781,0.7142857142857143,0.3043807145043604
A,neural,A1,8,0.0,0.0,0.05,1.6108674093894437,0.8125,0.3043807145043604
A,neural,A2,3,0.0,0.0,0.1,1.175568164398575,1.0,0.3043807145043604
A,neural,A2,4,0.0,0.0,0.0,1.3325774477497192,1.0,0.3043807145043604
A,neural,A2,5,0.0,0.0,0.1,1.5453818489398454,1.0,0.3043807145043604
A,neural,A2,6,0.0,0.0,0.1,1.3923428793499142,1.0,0.3043807145043604
A,neural,A2,7,0.0,0.0,0.1,1.373640938258181,0.8571428571428571,0.3043807145043604
A,neural,A2,8,0.0,0.0,0.05,1.519171063673764,0.875,0.3043807145043604
A,neural,A3,3,0.0,0.0,0.1,1.8451599388842994,1.0,0.3043807145043604
A,neural,A3,4,0.0,0.0,0.0,1.3517181006092012,1.0,0.3043807145043604
A,neural,A3,5,0.0,0.0,0.0,1.3008014825375833,0.9,0.3043807145043604
A,neural,A3,6,0.0,0.0,0.1,1.433691773542026,0.8333333333333334,0.3043807145043604
A,neural,A3,7,0.0,0.0,0.05,1.5374101081046043,0.8571428571428571,0.3043807145043604
A,neural,A3,8,0.0,0.0,0.05,0.9598510347232077,0.875,0.3043807145043604
A,newton,A1,3,0.0,0.1,0.1,1.4142135623730954,0.6666666666666666,0.3043807145043604
A,newton,A1,4,0.0,0.0,0.25,1.462004220238947,0.625,0.3043807145043604
A,newton,A1,5,0.0,0.0,0.05,1.5812214713170214,0.8,0.3043807145043604
A,newton,A1,6,0.0,0.0,0.1,1.3573540914825484,0.75,0.3043807145043604
A,newton,A1,7,0.0,0.0,0.05,1.6553779963137145,0.7142857142857143,0.3043807145043604
A,newton,A1,8,0.0,0.0,0.0,1.6360386983036908,0.75,0.3043807145043604
A,newton,A2,3,0.0,0.05,0.1,1.1755705045849452,0.6666666666666666,0.3043807145043604
A,newton,A2,4,0.0,0.0,0.15,1.5973923514273158,0.75,0.3043807145043604
A,newton,A2,5,0.0,0.0,0.05,1.5108161618203348,0.8,0.3043807145043604
A,newton,A2,6,0.0,0.0,0.1,1.2212020245995165,0.8333333333333334,0.3043807145043604
A,newton,A2,7,0.0,0.0,0.1,1.7506286588753563,0.8571428571428571,0.3043807145043604
A,newton,A2,8,0.0,0.0,0.0,1.7201859865703955,0.75,0.3043807145043604
A,newton,A3,3,0.0,0.0,0.25,1.3158682101952768,1.0,0.3043807145043604
A,newton,A3,4,0.0,0.0,0.25,0.9921035780181415,0.875,0.3043807145043604
A,newton,A3,5,0.0,0.0,0.15,1.2523038026088733,0.8,0.3043807145043604
A,newton,A3,6,0.0,0.0,0.1,1.2688954600107611,0.8333333333333334,0.3043807145043604
A,newton,A3,7,0.0,0.0,0.05,1.498912569870112,0.8571428571428571,0.3043807145043604
A,newton,A3,8,0.0,0.0,0.1,1.1731685345156153,0.875,0.3043807145043604
