A_name,q,sigma,seed,bq_abs,K,num_restarts,num_converged,num_unique_branches,max_root_to_branch_dT1,tol_root,tol_match,newton_config
A1,6,0.0,1000,144,64,64,64,51,6.106226635438361e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1001,144,64,64,64,56,7.771561172376096e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1002,144,64,64,64,51,8.881784197001252e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1003,144,64,64,64,47,5.551115123125783e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1004,144,64,64,64,54,9.992007221626409e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1005,144,64,64,64,52,8.881784197001252e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1006,144,64,64,64,54,1.1102230246251565e-15,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1007,144,64,64,64,52,9.992007221626409e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1008,144,64,64,64,51,4.440892098500626e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1009,144,64,64,64,49,9.992007221626409e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1010,144,64,64,64,55,6.661338147750939e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1011,144,64,64,64,52,8.881784197001252e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1012,144,64,64,64,52,9.43689570931383e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1013,144,64,64,64,50,6.661338147750939e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1014,144,64,64,64,53,4.440892098500626e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1015,144,64,64,64,46,6.661338147750939e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1016,144,64,64,64,54,9.992007221626409e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1017,144,64,64,64,54,6.661338147750939e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1018,144,64,64,64,55,9.992007221626409e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
A1,6,0.0,1019,144,64,64,64,55,4.440892098500626e-16,1e-10,1e-12,"{'K_max': 64, 'max_iter': 50, 'tol': 1e-12, 'min_step_scale': 1e-06, 'backtrack_factor': 0.5}"
