trial,A_name,q,sigma,digital_regime,bq_abs,spacing_y0,x0_obs,xq_obs,branch_k,branch_k2,phi,x_hat_qm1,x_qm1_1,x_qm1_2,delta_t1,delta_pred_t1,delta_ex,err1_t1,err2_t1,max_err_t1,bound_t1,lb_t1,err1_ex,err2_ex,max_err_ex,bound_ex_from_t1,lb_ex,pass_t1,pass_ex
0,A1,6,0.0,1,144,0.006944444444444444,0.6823518632481435,0.053821018802222675,0,1,branch0,0.025295193731735388,0.025295193731735388,0.40723963817616626,0.3819444444444309,0.3819444444444444,1.864015738565566,0.0,0.3819444444444309,0.3819444444444309,0.19097222222221544,0.1909722222222222,0.0,1.864015738565566,1.864015738565566,1.1292138519485657,1.1292138519486008,1,1
1,A1,6,0.0,1,144,0.006944444444444444,0.22035987277261138,0.1843718106986697,0,1,branch0,0.07195006570278117,0.07195006570278117,0.4538945101472214,0.3819444444444402,0.3819444444444444,1.8640157385655873,0.0,0.3819444444444402,0.3819444444444402,0.1909722222222201,0.1909722222222222,0.0,1.8640157385655873,1.8640157385655873,1.12921385194859,1.1292138519486008,1,1
2,A1,6,0.0,1,144,0.006944444444444444,0.17590590108503035,0.8120945066557737,0,1,branch0,0.3113965539385668,0.3113965539385668,0.6933409983830099,0.3819444444444431,0.3819444444444444,1.8640157385655938,0.0,0.3819444444444431,0.3819444444444431,0.19097222222222154,0.1909722222222222,0.0,1.8640157385655938,1.8640157385655938,1.1292138519485972,1.1292138519486008,1,1
3,A1,6,0.0,1,144,0.006944444444444444,0.9233449980270564,0.27657439779710624,0,1,branch0,0.11204817275600698,0.11204817275600698,0.4939926172004623,0.3819444444444553,0.3819444444444444,1.8640157385656215,0.0,0.3819444444444553,0.3819444444444553,0.19097222222222765,0.1909722222222222,0.0,1.8640157385656215,1.8640157385656215,1.129213851948629,1.1292138519486008,1,1
4,A1,6,0.0,1,144,0.006944444444444444,0.8197545615930021,0.8898926931111859,0,1,branch0,0.3455823102965798,0.3455823102965798,0.7275267547410351,0.3819444444444553,0.3819444444444444,1.8640157385656215,0.0,0.3819444444444553,0.3819444444444553,0.19097222222222765,0.1909722222222222,0.0,1.8640157385656215,1.8640157385656215,1.129213851948629,1.1292138519486008,1,1
5,A1,6,0.0,1,144,0.006944444444444444,0.5129704552295319,0.24496460106879647,0,1,branch0,0.09712516329176557,0.09712516329176557,0.47906960773620577,0.3819444444444402,0.3819444444444444,1.8640157385655873,0.0,0.3819444444444402,0.3819444444444402,0.1909722222222201,0.1909722222222222,0.0,1.8640157385655873,1.8640157385655873,1.12921385194859,1.1292138519486008,1,1
6,A1,6,0.0,1,144,0.006944444444444444,0.8242415960974113,0.21376296337509548,0,1,branch0,0.08736947626200164,0.08736947626200164,0.4693139207064325,0.3819444444444309,0.3819444444444444,1.8640157385655658,0.0,0.3819444444444309,0.3819444444444309,0.19097222222221544,0.1909722222222222,0.0,1.8640157385655658,1.8640157385655658,1.1292138519485657,1.1292138519486008,1,1
7,A1,6,0.0,1,144,0.006944444444444444,0.7414670522347097,0.6299402045896808,0,1,branch0,0.24575123822686384,0.24575123822686384,0.6276956826713098,0.381944444444446,0.3819444444444444,1.8640157385656004,0.0,0.381944444444446,0.381944444444446,0.190972222222223,0.1909722222222222,0.0,1.8640157385656004,1.8640157385656004,1.1292138519486048,1.1292138519486008,1,1
8,A1,6,0.0,1,144,0.006944444444444444,0.927407258525167,0.23190818860641882,0,1,branch0,0.09501637244359129,0.09501637244359129,0.4769608168880315,0.3819444444444402,0.3819444444444444,1.8640157385655873,0.0,0.3819444444444402,0.3819444444444402,0.1909722222222201,0.1909722222222222,0.0,1.8640157385655873,1.8640157385655873,1.12921385194859,1.1292138519486008,1,1
9,A1,6,0.0,1,144,0.006944444444444444,0.7991251286200829,0.5181650368527142,0,1,branch0,0.20345973719110177,0.20345973719110177,0.5854041816355571,0.3819444444444553,0.3819444444444444,1.8640157385656215,0.0,0.3819444444444553,0.3819444444444553,0.19097222222222765,0.1909722222222222,0.0,1.8640157385656215,1.8640157385656215,1.129213851948629,1.1292138519486008,1,1
10,A1,6,0.0,1,144,0.006944444444444444,0.23155562481706748,0.16590399324074456,0,1,branch0,0.06497413370179617,0.06497413370179617,0.44691857814623637,0.3819444444444402,0.3819444444444444,1.8640157385655873,0.0,0.3819444444444402,0.3819444444444402,0.1909722222222201,0.1909722222222222,0.0,1.8640157385655873,1.8640157385655873,1.12921385194859,1.1292138519486008,1,1
11,A1,6,0.0,1,144,0.006944444444444444,0.49778896849779386,0.5827246406153199,0,1,branch0,0.22602530696069367,0.22602530696069367,0.607969751405149,0.3819444444444553,0.3819444444444444,1.8640157385656217,0.0,0.3819444444444553,0.3819444444444553,0.19097222222222765,0.1909722222222222,0.0,1.8640157385656217,1.8640157385656217,1.129213851948629,1.1292138519486008,1,1
12,A1,6,0.0,1,144,0.006944444444444444,0.18433798742847973,0.014894916760232246,0,1,branch0,0.006969155619727996,0.006969155619727996,0.38891360006417397,0.381944444444446,0.3819444444444444,1.8640157385656004,0.0,0.381944444444446,0.381944444444446,0.190972222222223,0.1909722222222222,0.0,1.8640157385656004,1.8640157385656004,1.1292138519486048,1.1292138519486008,1,1
13,A1,6,0.0,1,144,0.006944444444444444,0.47113322889046083,0.7282433281832617,0,1,branch0,0.2814202519372926,0.2814202519372926,0.6633646963817357,0.3819444444444431,0.3819444444444444,1.8640157385655938,0.0,0.3819444444444431,0.3819444444444431,0.19097222222222154,0.1909722222222222,0.0,1.8640157385655938,1.8640157385655938,1.1292138519485972,1.1292138519486008,1,1
14,A1,6,0.0,1,144,0.006944444444444444,0.9186004917735433,0.625534005735464,0,1,branch0,0.24529840838348904,0.24529840838348904,0.6272428528279397,0.38194444444445064,0.3819444444444444,1.864015738565611,0.0,0.38194444444445064,0.38194444444445064,0.19097222222222532,0.1909722222222222,0.0,1.864015738565611,1.864015738565611,1.129213851948617,1.1292138519486008,1,1
15,A1,6,0.0,1,144,0.006944444444444444,0.9171225725476023,0.8646902510937748,0,1,branch0,0.3366325443243441,0.3366325443243441,0.718576988768775,0.3819444444444309,0.3819444444444444,1.864015738565566,0.0,0.3819444444444309,0.3819444444444309,0.19097222222221544,0.1909722222222222,0.0,1.864015738565566,1.864015738565566,1.1292138519485657,1.1292138519486008,1,1
16,A1,6,0.0,1,144,0.006944444444444444,0.21814287324998793,0.8661274307382429,0,1,branch0,0.3323274414156485,0.3323274414156485,0.7142718858600916,0.3819444444444431,0.3819444444444444,1.8640157385655938,0.0,0.3819444444444431,0.3819444444444431,0.19097222222222154,0.1909722222222222,0.0,1.8640157385655938,1.8640157385655938,1.1292138519485972,1.1292138519486008,1,1
17,A1,6,0.0,1,144,0.006944444444444444,0.7307519363712538,0.2778652902989278,0,1,branch0,0.1112037701584283,0.1112037701584283,0.49314821460286384,0.38194444444443554,0.3819444444444444,1.8640157385655767,0.0,0.38194444444443554,0.38194444444443554,0.19097222222221777,0.1909722222222222,0.0,1.8640157385655767,1.8640157385655767,1.1292138519485777,1.1292138519486008,1,1
18,A1,6,0.0,1,144,0.006944444444444444,0.7970435531834645,0.8652217128437365,0,1,branch0,0.3360016511082582,0.3360016511082582,0.7179460955527135,0.3819444444444553,0.3819444444444444,1.8640157385656215,0.0,0.3819444444444553,0.3819444444444553,0.19097222222222765,0.1909722222222222,0.0,1.8640157385656215,1.8640157385656215,1.129213851948629,1.1292138519486008,1,1
19,A1,6,0.0,1,144,0.006944444444444444,0.29943789563745726,0.527042084030297,0,1,branch0,0.2033802258146038,0.2033802258146038,0.5853246702590469,0.3819444444444431,0.3819444444444444,1.8640157385655938,0.0,0.3819444444444431,0.3819444444444431,0.19097222222222154,0.1909722222222222,0.0,1.8640157385655938,1.8640157385655938,1.1292138519485972,1.1292138519486008,1,1
